feature,split,bucket,edge_lo,edge_hi,n,expR,ci_lo,ci_hi,ci_excludes_0,wr_pct,totR,pos_quarters,level
pair,DISCOVERY,,,,1442,-0.0034,-0.069,0.063,False,36.7,-4.95,18/34,USDCAD
pair,DISCOVERY,,,,1344,-0.0519,-0.118,0.016,False,35.1,-69.74,9/31,USDCHF
pair,DISCOVERY,,,,1133,-0.0648,-0.138,0.01,False,34.5,-73.46,9/25,USDJPY
pair,VALIDATION,,,,565,-0.0149,-0.112,0.082,False,38.6,-8.42,3/9,AUDUSD
pair,VALIDATION,,,,607,-0.0383,-0.135,0.057,False,36.4,-23.25,4/13,EURJPY
pair,VALIDATION,,,,828,-0.0303,-0.113,0.054,False,36.0,-25.07,7/19,EURUSD
pair,VALIDATION,,,,843,-0.0726,-0.156,0.017,False,32.9,-61.19,7/20,GBPUSD
pair,VALIDATION,,,,683,-0.118,-0.208,-0.026,True,30.5,-80.56,3/16,GOLD
pair,VALIDATION,,,,565,-0.0554,-0.143,0.032,False,40.7,-31.3,2/10,NZDUSD
pair,VALIDATION,,,,785,-0.0756,-0.156,0.006,False,35.4,-59.34,5/19,USDCAD
