pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,bias,killzone_blocked,killzone_windows
USDJPY,2026-03-18T12:00:00+00:00,2026-03-18T12:00:00+00:00,2026-03-18T12:00:00+00:00,London,bullish,Minor BOS,50pct,158.968,158.868,159.355,159.386,3.87,4.18,tp2,159.386,4.18,3.87,4.18,1045.0,5.05,-0.18,0,0,0,3,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-18T09:00:00+00:00,BOS,Minor,False,False,False,,,,,False,12,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-18T15:00:00+00:00,2026-03-18T15:00:00+00:00,2026-03-18T15:00:00+00:00,NY,bullish,Minor BOS,proximal,159.532,159.392,159.749,159.804,1.55,1.94,sl,159.392,-1.0,-1.0,-1.0,-250.0,0.0,-1.214,0,-1,-1,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-18T14:00:00+00:00,BOS,Minor,False,False,False,,,,,False,15,LONG,False,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-18T15:00:00+00:00,2026-03-18T15:00:00+00:00,2026-03-18T15:00:00+00:00,NY,bullish,Minor BOS,50pct,159.472,159.392,159.749,159.804,3.462,4.15,sl,159.392,-1.0,-1.0,-1.0,-250.0,0.3,-1.375,0,-1,-1,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-18T14:00:00+00:00,BOS,Minor,False,False,False,,,,,False,15,LONG,False,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-18T18:00:00+00:00,2026-03-18T18:00:00+00:00,2026-03-18T18:00:00+00:00,NY,bullish,Minor BOS,proximal,159.541,159.337,159.857,159.901,1.55,1.76,sl,159.337,-1.0,-1.0,-1.0,-250.0,0.931,-1.461,0,-1,-1,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-18T17:00:00+00:00,BOS,Minor,False,False,False,,,,,False,18,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-18T18:00:00+00:00,2026-03-18T18:00:00+00:00,2026-03-18T18:00:00+00:00,NY,bullish,Minor BOS,50pct,159.449,159.337,159.857,159.901,3.643,4.036,sl,159.337,-1.0,-1.0,-1.0,-250.0,2.518,-1.839,0,-1,-1,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-18T17:00:00+00:00,BOS,Minor,False,False,False,,,,,False,18,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-23T00:00:00+00:00,2026-03-23T00:00:00+00:00,2026-03-23T00:00:00+00:00,Asia,bullish,Minor BOS,proximal,159.332,159.165,159.584,159.639,1.51,1.84,sl,159.165,-1.0,-1.0,-1.0,-250.0,1.144,-1.97,0,-1,-1,2,premium,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-03-20T20:00:00+00:00,BOS,Minor,False,False,False,,,,,True,0,LONG,False,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-23T00:00:00+00:00,2026-03-23T00:00:00+00:00,2026-03-23T00:00:00+00:00,Asia,bullish,Minor BOS,50pct,159.258,159.165,159.584,159.639,3.505,4.097,sl,159.165,-1.0,-1.0,-1.0,-250.0,2.849,-2.742,0,-1,-1,2,premium,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-03-20T20:00:00+00:00,BOS,Minor,False,False,False,,,,,True,0,LONG,False,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-23T05:00:00+00:00,2026-03-23T05:00:00+00:00,2026-03-23T08:00:00+00:00,Asia,bullish,Minor BOS,proximal,159.464,159.316,159.695,159.749,1.56,1.93,sl,159.316,-1.0,-1.0,-1.0,-250.0,1.304,-1.128,3,-1,-1,1,premium,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-03-23T04:00:00+00:00,BOS,Minor,False,False,False,,,,,False,5,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-23T05:00:00+00:00,2026-03-23T05:00:00+00:00,2026-03-23T08:00:00+00:00,Asia,bullish,Minor BOS,50pct,159.4,159.316,159.695,159.749,3.512,4.155,sl,159.316,-1.0,-1.0,-1.0,-250.0,3.059,-1.226,3,-1,-1,1,premium,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-03-23T04:00:00+00:00,BOS,Minor,False,False,False,,,,,False,5,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
USDJPY,2026-03-23T07:00:00+00:00,2026-03-23T07:00:00+00:00,2026-03-23T07:00:00+00:00,London,bullish,Minor BOS,proximal,159.657,159.437,160.414,160.442,3.44,3.57,sl,159.437,-1.0,-1.0,-1.0,-250.0,0.0,-1.291,0,-1,-1,1,premium,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-03-23T06:00:00+00:00,BOS,Minor,False,False,False,,,,,False,7,LONG,True,"00:00-05:00 UTC, 12:30-16:30 UTC"
